Sno,Which of the following best describes your age?,What gender do you most identify with?,Are you a registered to vote?,Are you registered to vote at the current address you reside at?,Do you feel that you fully understand the election process?,In the last 5 years did you vote in a local election? This includes voting for Councillor & mayors,Did you voted in the  2021 elections?,"If not voted, why ?",On what basis do you assess a political candidate?,Which of the following best describes your decision to vote in the 2021 election?,On what basis you select your political candidate.,Contributed or collected money,Attended election meetings/rallies,Participated in door to door canvassing,Distributed election leaflets or put up posters,Do you think the existing government is going in the right direction to benefit Tamil Nadu's people?,How would you rate Edappadi Palanisamy’s performance as the Chief Minister of Tamil Nadu ,What is your assessment of the performance of the AIADMK government in Tamil Nadu in the last five years? Would you say that you have been satisfied or dissatisfied with it? ,During the last two- three years have you or any of your family members benefited from any Government scheme ? ,On the day of voting will you vote for the same party which you voted now or your decision may change? ,Which party do you support in your ward?,What is your opinion about the candidate? ,Which party will rule Tamil Nadu for the next five years?,Why do you think your candidate will win?
1,25 - 40,Female,Yes,No,A moderate amount,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,Yes,Neutral,I'm not sure,No,Vote for the same party,NOTA,,Others,
2,18 - 24,Male,Yes,Yes,A lot,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,Fully dissatisfied,No,Vote for the same party,MNM,,M. A. Stalin,
3,18 - 24,Male,Yes,No,A lot,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,I'm not sure,Vote for the same party,AIADMK / BJP,Honest sincere and hardworking,Edappadi Palanisamy,Because of his leadership experience and ideology 
4,25 - 40,Male,Yes,Yes,A lot,No,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,Satisfactory ,Edappadi Palanisamy,He is the best
5,18 - 24,Female,No,No,A moderate amount,No,No,"I'm Eligible to vote, but not having Voter ID",I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,Yes,No,Very Bad,Somewhat dissatisfied,No,Vote for the same party,MNM,New-promising candidate ..,Kamal Haasan,Has concern for the people
6,18 - 24,Male,Yes,Yes,A lot,No,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Good,Somewhat satisfied,I'm not sure,Vote for the same party,DMK / CONGRESS,Good,M. A. Stalin,.
7,18 - 24,Female,No,No,None at all,No,No,"I'm Eligible to vote, but not having Voter ID",Other,"I am going to vote, and I don't care who wins.",On the basis on their promises,No,No,No,No,No,Neutral,I'm not sure,I'm not sure,Not prefer to say,MNM,super,Edappadi Palanisamy,admk
8,18 - 24,Male,Yes,No,A little,No,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.","Influenced by others (Family, Peers)",No,No,No,No,Yes,Good,I'm not sure,I'm not sure,May change,AIADMK / BJP,He'll learn,Edappadi Palanisamy,The opposing party are full of shit
9,18 - 24,Male,Yes,Yes,A little,Yes,Yes,"I'm Eligible to vote, but not having Voter ID",I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,Yes,Neutral,I'm not sure,Yes,Not prefer to say,MNM,Nil,Kamal Haasan,Kamal Haasan
10,18 - 24,Male,Yes,Yes,A moderate amount,No,Yes,,News on TV,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,No,No,No,No,No,Bad,I'm not sure,No,Not prefer to say,MNM,Better than other candidates,M. A. Stalin,Obviously it's sure that one of the two major parties will win.
