FFT Gray Avg,FFT Gray Median,FFT Gray SD,FFT Gray Max,FFT Gray Min,FFT Gray Mode,FFT Gray Midpoint,FFT Gray Var,FFT Red Avg,FFT Red Median,FFT Red SD,FFT Red Max,FFT Red Min,FFT Red Mode,FFT Red Midpoint,FFT Red Var,FFT Green Avg,FFT Green Median,FFT Green SD,FFT Green Max,FFT Green Min,FFT Green Mode,FFT Green Midpoint,FFT Green Var,DCT Gray,DCT Red,DCT Green,Wavelet Gray Avg,Wavelet Gray Median,Wavelet Gray SD,Wavelet Gray Max,Wavelet Gray Min,Wavelet Gray Mode,Wavelet Gray Midpoint,Wavelet Gray Var,Wavelet Red Avg,Wavelet Red Median,Wavelet Red SD,Wavelet Red Max,Wavelet Red Min,Wavelet Red Mode,Wavelet Red Midpoint,Wavelet Red Var,Wavelet Green Avg,Wavelet Green Median,Wavelet Green SD,Wavelet Green Max,Wavelet Green Min,Wavelet Green Mode,Wavelet Green Midpoint,Wavelet Green Var
79.00000,281.12605,18732.71291,3626160.00000,-5.89349,-5.89349,1813077.05300,21000000000000000000.00000,3.00000,106.42392,9651.76669,1741477.00000,-1.83684,-1.83684,870737.58160,1090000000000000000.00000,95.00000,559.61087,19164.52443,3652604.00000,3.25615,3.25615,1826303.62800,22900000000000000000.00000,16188.21429,7774.45089,16306.26786,2.26726,1.90270,0.64371,6.92402,0.21814,0.21814,3.57108,2.98040,1.08886,0.92598,0.40811,4.78333,0.05882,0.05882,2.42108,0.49027,2.28379,1.88113,0.69438,7.45980,0.21176,1.11716,3.83578,4.22313
72.00000,717.90961,19368.43374,3906271.00000,2.39549,2.39549,1953136.69800,23300000000000000000.00000,60.00000,462.53002,16698.20727,3117346.00000,6.00000,6.00000,1558676.00000,9910000000000000000.00000,72.00000,-187.47457,19074.18359,3684024.00000,-1.83965,-1.83965,1842011.08000,18600000000000000000.00000,17438.70982,13916.72321,16446.53571,2.44240,2.35760,0.21321,6.91618,0.10245,0.43284,3.50931,0.23190,1.94912,1.66544,0.24118,7.06814,0.10000,0.10000,3.58407,0.30244,2.30344,2.11667,0.19543,6.92598,0.11765,0.14118,3.52181,0.20475
69.00000,625.86121,15594.37997,3077872.00000,5.44434,5.44434,1538938.72200,9220000000000000000.00000,48.00000,-665.51212,11894.21608,1739112.00000,7.52280,7.52280,869559.76140,1430000000000000000.00000,75.00000,-155.44283,14969.42268,2894103.00000,6.52336,6.52336,1447054.76200,6750000000000000000.00000,13740.50000,7763.89286,12920.10268,1.92444,1.62218,0.42318,6.91569,0.11618,0.11618,3.51593,0.81684,1.08738,0.73162,0.68877,7.26176,0.07892,0.07892,3.67034,2.47717,1.80954,1.74252,0.39302,6.88578,0.08775,0.08775,3.48676,0.71180
131.00000,659.25190,27448.50708,6035195.00000,5.65494,5.65494,3017600.32700,120000000000000000000.00000,120.00000,251.11840,22494.59036,4798909.00000,1.15432,1.15432,2399455.07700,47900000000000000000.00000,138.00000,701.78451,27978.76911,6154298.00000,-6.20869,-6.20869,3077145.89600,129000000000000000000.00000,26942.83482,21423.70089,27474.54464,3.77351,3.60355,0.26640,7.67696,1.56863,1.56863,4.62279,0.26022,3.00052,2.79890,0.26760,7.36422,0.89755,0.89755,4.13088,0.41848,3.84798,3.68762,0.24095,7.80441,1.41765,1.41765,4.61103,0.20647
118.00000,214.71622,22521.04987,4706224.00000,-7.00000,-7.00000,2353108.50000,45200000000000000000.00000,60.00000,-182.48538,18598.91470,3594099.00000,1.37612,1.37612,1797050.18800,16100000000000000000.00000,131.00000,266.63319,22534.40511,4627796.00000,3.15903,3.15903,2313899.58000,42600000000000000000.00000,21009.92857,16045.08482,20659.80357,2.94257,3.24363,0.25714,5.92059,0.32157,0.38431,3.12108,0.34430,2.24721,2.19485,0.34844,6.08578,0.12598,0.12598,3.10588,0.86286,2.89353,3.13382,0.33599,5.81814,0.30147,0.30147,3.05980,0.69090
67.00000,284.43395,23592.23912,4980432.00000,-1.95429,-1.95429,2490215.02300,58000000000000000000.00000,53.00000,264.17615,9992.11887,2143915.00000,0.64616,0.64616,1071957.82300,1920000000000000000.00000,71.00000,-215.63332,19213.73178,4171059.00000,-2.35569,-2.35569,2085528.32200,27600000000000000000.00000,22234.07143,9571.04911,18620.79911,3.11402,3.61716,0.30702,5.26667,1.19951,1.19951,3.23309,0.35649,1.34048,1.25846,0.14557,3.37206,0.43529,0.43529,1.90368,0.01470,2.60796,2.68039,0.17056,4.63039,1.06520,1.06520,2.84779,0.04306
97.00000,-512.73997,27367.23330,5623882.00000,2.51703,2.51703,2811942.25900,98700000000000000000.00000,97.00000,402.53662,23437.40539,4486668.00000,-2.11445,-2.11445,2243332.94300,44400000000000000000.00000,101.00000,616.68768,26490.41026,5381175.00000,-3.12306,-3.12306,2690585.93800,82400000000000000000.00000,25106.61607,20029.76786,24023.10268,3.51633,3.50735,0.26418,7.14510,0.11127,0.11127,3.62819,0.64935,2.80529,2.23284,0.32221,7.38431,0.06225,0.06225,3.72328,0.87242,3.36458,3.07463,0.30423,7.16863,0.12353,0.12353,3.64608,0.76465
249.00000,-522.89591,29935.26749,5898819.00000,0.09689,0.09689,2949409.54800,137000000000000000000.00000,251.00000,569.11866,20034.36951,2884879.00000,3.05473,3.05473,1442441.02700,11600000000000000000.00000,249.00000,87.83200,29678.33587,5505956.00000,4.88804,4.88804,2752980.44400,116000000000000000000.00000,26334.01339,12878.92411,24580.16071,3.68824,3.07304,0.51802,7.92010,0.26569,0.26569,4.09289,4.16948,1.80377,0.19363,0.71625,7.91127,0.01716,0.07108,3.96422,4.63280,3.44260,2.32708,0.58414,7.96912,0.03725,0.03725,4.00319,5.65710
93.00000,-584.02803,22583.60756,4642211.00000,-3.40045,-3.40045,2321103.80000,45900000000000000000.00000,79.00000,544.15559,16288.99661,3137757.00000,3.63701,3.63701,1568880.31900,9730000000000000000.00000,97.00000,90.51270,23633.84343,4681364.00000,-3.99277,-3.99277,2340680.00400,46700000000000000000.00000,20724.15625,14007.84375,20898.94643,2.90254,2.84191,0.24273,6.79265,0.55588,0.57255,3.67426,0.32363,1.96188,1.59657,0.29390,6.65098,0.45294,0.52157,3.55196,0.49248,2.92702,2.93039,0.30805,6.99706,0.47892,0.57255,3.73799,0.62517
83.00000,255.91045,21061.66769,4291694.00000,2.51658,2.51658,2145848.25800,34600000000000000000.00000,90.00000,148.19266,18846.81124,3620618.00000,2.49604,2.49604,1810310.24800,18400000000000000000.00000,90.00000,314.86682,20758.14050,4155440.00000,0.60898,0.60898,2077720.30400,29800000000000000000.00000,19159.34821,16163.47321,18551.07143,2.68338,2.89081,0.41478,7.12402,0.17206,0.21176,3.64804,1.40719,2.26379,2.35368,0.49670,7.86814,0.05784,0.05784,3.96299,2.24380,2.59819,2.56703,0.34967,6.97402,0.17402,0.17402,3.57402,1.06436
