FFT Gray Avg,FFT Gray Median,FFT Gray SD,FFT Gray Max,FFT Gray Min,FFT Gray Mode,FFT Gray Midpoint,FFT Gray Var,FFT Red Avg,FFT Red Median,FFT Red SD,FFT Red Max,FFT Red Min,FFT Red Mode,FFT Red Midpoint,FFT Red Var,FFT Green Avg,FFT Green Median,FFT Green SD,FFT Green Max,FFT Green Min,FFT Green Mode,FFT Green Midpoint,FFT Green Var,FFT Blue Avg,FFT Blue Median,FFT Blue SD,FFT Blue Max,FFT Blue Min,DCT Gray,DCT Red,DCT Green,Wavelet Gray Avg,Wavelet Gray Median,Wavelet Gray SD,Wavelet Gray Max,Wavelet Gray Min,Wavelet Gray Mode,Wavelet Gray Midpoint,Wavelet Gray Var,Wavelet Red Avg,Wavelet Red Median,Wavelet Red SD,Wavelet Red Max,Wavelet Red Min,Wavelet Red Mode,Wavelet Red Midpoint,Wavelet Red Var,Wavelet Green Avg,Wavelet Green Median,Wavelet Green SD,Wavelet Green Max,Wavelet Green Min,Wavelet Green Mode,Wavelet Green Midpoint,Wavelet Green Var,Wavelet Blue Avg,Wavelet Blue Median,Wavelet Blue SD,Wavelet Blue Max,Wavelet Blue Min
79.00,281.13,18732.71,3626160.00,-5.89,-5.89,1813077.05,21000000000000000000.00,3.00,106.42,9651.77,1741477.00,-1.84,-1.84,870737.58,1090000000000000000.00,95.00,559.61,19164.52,3652604.00,3.26,3.26,1826303.63,22900000000000000000.00,NaN,NaN,NaN,NaN,NaN,16188.21,7774.45,16306.27,2.27,1.90,0.64,6.92,0.22,0.22,3.57,2.98,1.09,0.93,0.41,4.78,0.06,0.06,2.42,0.49,2.28,1.88,0.69,7.46,0.21,1.12,3.84,4.22,NaN,NaN,NaN,NaN,NaN
72.00,717.91,19368.43,3906271.00,2.40,2.40,1953136.70,23300000000000000000.00,60.00,462.53,16698.21,3117346.00,6.00,6.00,1558676.00,9910000000000000000.00,72.00,-187.47,19074.18,3684024.00,-1.84,-1.84,1842011.08,18600000000000000000.00,NaN,NaN,NaN,NaN,NaN,17438.71,13916.72,16446.54,2.44,2.36,0.21,6.92,0.10,0.43,3.51,0.23,1.95,1.67,0.24,7.07,0.10,0.10,3.58,0.30,2.30,2.12,0.20,6.93,0.12,0.14,3.52,0.20,NaN,NaN,NaN,NaN,NaN
69.00,625.86,15594.38,3077872.00,5.44,5.44,1538938.72,9220000000000000000.00,48.00,-665.51,11894.22,1739112.00,7.52,7.52,869559.76,1430000000000000000.00,75.00,-155.44,14969.42,2894103.00,6.52,6.52,1447054.76,6750000000000000000.00,NaN,NaN,NaN,NaN,NaN,13740.50,7763.89,12920.10,1.92,1.62,0.42,6.92,0.12,0.12,3.52,0.82,1.09,0.73,0.69,7.26,0.08,0.08,3.67,2.48,1.81,1.74,0.39,6.89,0.09,0.09,3.49,0.71,NaN,NaN,NaN,NaN,NaN
131.00,659.25,27448.51,6035195.00,5.65,5.65,3017600.33,120000000000000000000.00,120.00,251.12,22494.59,4798909.00,1.15,1.15,2399455.08,47900000000000000000.00,138.00,701.78,27978.77,6154298.00,-6.21,-6.21,3077145.90,129000000000000000000.00,NaN,NaN,NaN,NaN,NaN,26942.83,21423.70,27474.54,3.77,3.60,0.27,7.68,1.57,1.57,4.62,0.26,3.00,2.80,0.27,7.36,0.90,0.90,4.13,0.42,3.85,3.69,0.24,7.80,1.42,1.42,4.61,0.21,NaN,NaN,NaN,NaN,NaN
118.00,214.72,22521.05,4706224.00,-7.00,-7.00,2353108.50,45200000000000000000.00,60.00,-182.49,18598.91,3594099.00,1.38,1.38,1797050.19,16100000000000000000.00,131.00,266.63,22534.41,4627796.00,3.16,3.16,2313899.58,42600000000000000000.00,NaN,NaN,NaN,NaN,NaN,21009.93,16045.08,20659.80,2.94,3.24,0.26,5.92,0.32,0.38,3.12,0.34,2.25,2.19,0.35,6.09,0.13,0.13,3.11,0.86,2.89,3.13,0.34,5.82,0.30,0.30,3.06,0.69,NaN,NaN,NaN,NaN,NaN
67.00,284.43,23592.24,4980432.00,-1.95,-1.95,2490215.02,58000000000000000000.00,53.00,264.18,9992.12,2143915.00,0.65,0.65,1071957.82,1920000000000000000.00,71.00,-215.63,19213.73,4171059.00,-2.36,-2.36,2085528.32,27600000000000000000.00,NaN,NaN,NaN,NaN,NaN,22234.07,9571.05,18620.80,3.11,3.62,0.31,5.27,1.20,1.20,3.23,0.36,1.34,1.26,0.15,3.37,0.44,0.44,1.90,0.01,2.61,2.68,0.17,4.63,1.07,1.07,2.85,0.04,NaN,NaN,NaN,NaN,NaN
97.00,-512.74,27367.23,5623882.00,2.52,2.52,2811942.26,98700000000000000000.00,97.00,402.54,23437.41,4486668.00,-2.11,-2.11,2243332.94,44400000000000000000.00,101.00,616.69,26490.41,5381175.00,-3.12,-3.12,2690585.94,82400000000000000000.00,NaN,NaN,NaN,NaN,NaN,25106.62,20029.77,24023.10,3.52,3.51,0.26,7.15,0.11,0.11,3.63,0.65,2.81,2.23,0.32,7.38,0.06,0.06,3.72,0.87,3.36,3.07,0.30,7.17,0.12,0.12,3.65,0.76,NaN,NaN,NaN,NaN,NaN
249.00,-522.90,29935.27,5898819.00,0.10,0.10,2949409.55,137000000000000000000.00,251.00,569.12,20034.37,2884879.00,3.05,3.05,1442441.03,11600000000000000000.00,249.00,87.83,29678.34,5505956.00,4.89,4.89,2752980.44,116000000000000000000.00,NaN,NaN,NaN,NaN,NaN,26334.01,12878.92,24580.16,3.69,3.07,0.52,7.92,0.27,0.27,4.09,4.17,1.80,0.19,0.72,7.91,0.02,0.07,3.96,4.63,3.44,2.33,0.58,7.97,0.04,0.04,4.00,5.66,NaN,NaN,NaN,NaN,NaN
93.00,-584.03,22583.61,4642211.00,-3.40,-3.40,2321103.80,45900000000000000000.00,79.00,544.16,16289.00,3137757.00,3.64,3.64,1568880.32,9730000000000000000.00,97.00,90.51,23633.84,4681364.00,-3.99,-3.99,2340680.00,46700000000000000000.00,NaN,NaN,NaN,NaN,NaN,20724.16,14007.84,20898.95,2.90,2.84,0.24,6.79,0.56,0.57,3.67,0.32,1.96,1.60,0.29,6.65,0.45,0.52,3.55,0.49,2.93,2.93,0.31,7.00,0.48,0.57,3.74,0.63,NaN,NaN,NaN,NaN,NaN
83.00,255.91,21061.67,4291694.00,2.52,2.52,2145848.26,34600000000000000000.00,90.00,148.19,18846.81,3620618.00,2.50,2.50,1810310.25,18400000000000000000.00,90.00,314.87,20758.14,4155440.00,0.61,0.61,2077720.30,29800000000000000000.00,NaN,NaN,NaN,NaN,NaN,19159.35,16163.47,18551.07,2.68,2.89,0.41,7.12,0.17,0.21,3.65,1.41,2.26,2.35,0.50,7.87,0.06,0.06,3.96,2.24,2.60,2.57,0.35,6.97,0.17,0.17,3.57,1.06,NaN,NaN,NaN,NaN,NaN
