FFT Gray Avg,FFT Gray Median,FFT Gray SD,FFT Gray Max,FFT Gray Min,FFT Gray Mode,FFT Gray Midpoint,FFT Red Avg,FFT Red Median,FFT Red SD,FFT Red Max,FFT Red Min,FFT Red Mode,FFT Red Midpoint,FFT Green Avg,FFT Green Median,FFT Green SD,FFT Green Max,FFT Green Min,FFT Green Mode,FFT Green Midpoint,DCT Gray,DCT Red,DCT Green,Wavelet Gray Avg,Wavelet Gray Median,Wavelet Gray SD,Wavelet Gray Max,Wavelet Gray Min,Wavelet Gray Mode,Wavelet Gray Midpoint,Wavelet Red Avg,Wavelet Red Median,Wavelet Red SD,Wavelet Red Max,Wavelet Red Min,Wavelet Red Mode,Wavelet Red Midpoint,Wavelet Green Avg,Wavelet Green Median,Wavelet Green SD,Wavelet Green Max,Wavelet Green Min,Wavelet Green Mode,Wavelet Green Midpoint,Red,Green,Blue,Gray_Average,Gray_Median,Gray_SD,Gray_Max,Gray_Min,Gray_Skewness,Gray_Kurtusis,Gray_IQR,Area_Mean,Area_SD,BoundingBox_Mean,BoundingBox_SD,BoundingBox_Skewness,BoundingBox_Kurtusis,Eccentricity_Mean,Eccentricity_SD,FilledArea_Mean,FilledArea_SD,Area,Entropy,Above_Red,Above_Green,Above_Blue,Below_Red,Below_Green,Below_Blue,Target
141.0,-319.09,27245.78,5824453.0,-3.22,-3.22,2912224.89,83.0,743.41,21948.24,4467520.0,-14.4,-14.4,2233752.8,154.0,160.66,27473.84,5716825.0,-8.16,-8.16,2858408.42,26002.02,19944.29,25521.54,3.64,3.76,0.36,7.95,0.57,0.74,4.26,2.79,2.55,0.43,7.96,0.13,0.13,4.05,3.57,3.83,0.51,7.95,0.09,0.09,4.02,130.61,113.94,89.04,0.05,0.0,0.06,1.0,0.0,0.61,5.35,0.0,8301.0,0.0,199.75,228.92,0.0,1.0,0.43,0.0,8849.0,0.0,160000.0,0.29,78190.0,81810.0,90552.0,69448.0,74225.0,85775.0,0.0
235.0,-3331.0,202031.34,205071523.0,-1.81,-1.81,102535760.6,214.0,5591.68,199728.03,199651412.0,-4.34,-4.34,99825703.83,240.0,1491.15,201531.98,204204172.0,0.13,0.13,102102086.1,193961.5,188835.03,193141.14,5.76,6.59,0.26,7.74,0.21,3.27,3.97,5.61,6.3,0.31,7.75,0.08,7.25,3.91,5.73,6.54,0.26,7.71,0.22,7.12,3.97,186.89,182.68,178.61,0.09,0.0,0.06,1.0,0.0,0.2,2.32,0.0,13738.0,0.0,199.75,228.92,0.0,1.0,0.41,0.0,17786.0,0.0,160000.0,0.42,102627.0,57373.0,100552.0,59448.0,97370.0,62630.0,1.0
132.0,-148.42,29537.63,6386170.0,-10.2,-10.2,3193079.9,66.0,-1663.9,16197.96,3576372.0,18.54,18.54,1788195.27,149.0,140.3,32664.84,7030886.0,18.56,18.56,3515452.28,28509.69,15965.95,31387.88,3.99,4.49,0.39,5.93,0.31,0.31,3.12,2.24,2.35,0.15,4.12,0.18,0.18,2.15,4.4,5.04,0.45,6.31,0.34,0.34,3.32,123.38,140.13,71.29,0.12,0.0,0.05,1.0,0.0,0.52,5.41,0.0,19742.0,0.0,199.75,206.61,0.0,1.05,0.76,0.0,20840.0,0.0,160000.0,0.54,97518.0,62482.0,107072.0,52928.0,87289.0,72711.0,2.0
44.0,1784.95,46246.91,14907027.0,1.98,1.98,7453514.49,7.0,2519.21,41833.67,11778779.0,-11.66,-11.66,5889383.67,61.0,98.12,47418.33,15950034.0,-16.03,-16.03,7975008.98,33333.13,26338.15,35665.36,2.32,1.13,0.6,7.89,0.15,0.25,4.02,1.84,0.37,0.68,7.88,0.0,0.13,3.94,2.49,1.4,0.56,7.89,0.16,0.25,4.02,70.26,79.75,58.89,0.03,0.0,0.05,1.0,0.0,3.24,35.22,0.0,4455.0,0.0,193.5,216.64,0.0,1.0,0.71,0.0,6212.0,0.0,160000.0,0.18,52760.0,107240.0,51990.0,108010.0,51883.0,108117.0,1.0
65.0,-537.09,16017.68,3342241.0,-1.24,-1.24,1671119.88,24.0,474.63,8749.55,1562312.0,2.0,2.0,781157.0,77.0,2.56,16013.07,3177155.0,-6.41,-6.41,1588574.3,14920.72,6974.61,14183.73,2.09,2.13,0.32,6.42,0.18,0.18,3.3,0.98,0.83,0.18,5.25,0.01,0.02,2.63,1.99,2.06,0.37,6.46,0.02,0.02,3.24,86.61,63.32,31.15,0.02,0.0,0.06,1.0,0.0,1.59,16.36,0.0,3719.0,0.0,192.5,220.87,0.01,1.01,0.64,0.0,3829.0,0.0,160000.0,0.16,44025.0,115975.0,97633.0,62367.0,70975.0,89025.0,0.0
85.0,-349.77,20069.23,3901508.0,-2.2,-2.2,1950752.9,50.0,-338.88,17903.63,2701329.0,1.38,1.38,1350665.19,87.0,-330.36,19259.06,3612668.0,-3.58,-3.58,1806332.21,17417.45,12059.5,16127.98,2.44,2.22,0.53,6.76,0.11,0.11,3.43,1.69,0.88,0.63,7.93,0.02,0.05,3.98,2.26,2.26,0.43,6.63,0.04,0.04,3.34,98.21,72.0,53.84,0.02,0.0,0.05,1.0,0.0,1.14,10.66,0.0,3429.0,0.0,199.75,228.92,0.0,1.0,0.81,0.0,3446.0,0.0,160000.0,0.15,65672.0,94328.0,76800.0,83200.0,54410.0,105590.0,0.0
83.0,255.91,21061.67,4291694.0,2.52,2.52,2145848.26,90.0,148.19,18846.81,3620618.0,2.5,2.5,1810310.25,90.0,314.87,20758.14,4155440.0,0.61,0.61,2077720.3,19159.35,16163.47,18551.07,2.68,2.89,0.41,7.12,0.17,0.21,3.65,2.26,2.35,0.5,7.87,0.06,0.06,3.96,2.6,2.57,0.35,6.97,0.17,0.17,3.57,96.0,82.82,72.16,0.03,0.0,0.03,1.0,0.0,1.42,20.48,0.0,4406.0,0.0,199.75,217.13,0.0,1.01,0.5,0.0,4557.0,0.0,160000.0,0.18,73062.0,86938.0,90646.0,69354.0,77396.0,82604.0,0.0
255.0,818.92,201739.42,165165339.0,3.93,3.93,82582671.47,255.0,986.13,197436.92,160903837.0,2.74,2.74,80451919.87,255.0,-474.28,201957.63,165361188.0,-0.87,-0.87,82680593.57,201201.33,196010.05,201439.91,7.69,7.99,0.32,8.0,1.46,8.0,4.73,7.49,7.99,0.34,8.0,1.33,8.0,4.67,7.7,7.99,0.33,8.0,1.45,8.0,4.72,246.96,245.4,238.78,0.02,0.0,0.05,1.0,0.0,1.11,8.14,0.0,2946.0,0.0,194.0,222.33,0.0,1.0,0.96,0.0,2990.0,0.0,160000.0,0.13,122640.0,37360.0,119747.0,40253.0,119036.0,40964.0,1.0
16.0,-1201.49,57286.75,23628464.0,2.33,2.33,11814233.17,11.0,-2232.91,58038.05,22221555.0,5.22,5.22,11110780.11,19.0,772.27,58252.7,24313724.0,-3.03,-3.03,12156860.48,46753.67,43969.82,48109.59,2.89,1.83,0.44,7.31,0.28,0.5,3.8,2.72,1.5,0.5,6.78,0.03,0.22,3.4,2.98,1.88,0.43,7.31,0.25,0.6,3.78,89.32,95.2,87.01,0.01,0.0,0.06,1.0,0.0,0.27,1.75,0.0,2321.0,0.0,191.0,219.28,0.01,1.02,0.68,0.0,2586.0,0.0,160000.0,0.11,79921.0,80079.0,79898.0,80102.0,76068.0,83932.0,1.0
16.0,-428.74,44967.61,13992993.0,0.76,0.76,6996496.88,18.0,977.43,43491.78,13235193.0,-3.72,-3.72,6617594.64,19.0,-777.41,45081.03,14111993.0,6.34,6.34,7055999.67,38254.22,36182.53,38579.54,3.21,3.78,0.59,7.95,0.11,0.11,4.03,3.03,3.34,0.65,7.95,0.11,0.12,4.03,3.24,3.75,0.59,7.96,0.11,0.11,4.03,105.0,105.47,98.91,0.03,0.0,0.09,1.0,0.0,0.93,4.7,0.0,5195.0,0.0,199.75,225.48,0.0,1.0,0.63,0.0,5398.0,0.0,160000.0,0.21,89820.0,70180.0,89630.0,70370.0,84545.0,75455.0,1.0
