Red,Green,Blue,Gray_Average,Gray_Median,Gray_SD,Gray_Max,Gray_Min,Gray_Skewness,Gray_Kurtusis,Gray_IQR,Area_Mean,Area_SD,BoundingBox_Mean,BoundingBox_SD,BoundingBox_Skewness,BoundingBox_Kurtusis,Eccentricity_Mean,Eccentricity_SD,FilledArea_Mean,FilledArea_SD,Area,Entropy,Above_Red,Above_Green,Above_Blue,Below_Red,Below_Green,Below_Blue,Target
85.61463,72.79782,34.71952,0.02222,0,0.08125,1,0,2.68537,23.18512,0,3555,0,174,200.98881,0.11863,1.15708,0.8976,0,3714,0,160000,0.15372,49152,110848,52597,107403,55162,104838,0
92.56375,73.42577,62.13364,0.06755,0,0.05067,1,0,0.78442,4.24939,0,10808,0,199.75,228.91938,0,1,0.58865,0,14135,0,160000,0.35671,72740,87260,74646,85354,64168,95832,0
78.71675,57.68082,34.66886,0.02896,0,0.07581,1,0,0.7853,10.81879,0,4634,0,197,212.06642,0.00743,1.02828,0.71314,0,4639,0,160000,0.18916,52593,107407,74757,85243,40837,119163,0
125.03139,122.65719,95.64339,0.06969,0,0.07053,1,0,3.95837,56.19221,0,11151,0,197.75,226.63351,0.00062,1.00083,0.59582,0,11518,0,160000,0.36478,66955,93045,74006,85994,69801,90199,0
105.32459,92.23384,71.63331,0.06702,0,0.07022,1,0,0.38611,10.56278,0,10723,0,199.75,228.91938,0,1,0.52944,0,10934,0,160000,0.3547,83126,76874,86640,73360,76079,83921,0
152.48316,83.13104,42.73182,0.01044,0,0.04895,1,0,0.32585,2.68682,0,1670,0,196.75,198.94074,0.00121,1.00175,0.83546,0,2028,0,160000,0.08368,77892,82108,73648,86352,62650,97350,0
130.21843,107.24826,89.42242,0.04451,0,0.04194,1,0,1.13516,6.53731,0,7122,0,199.75,228.91938,0,1,0.55867,0,7175,0,160000,0.26261,88523,71477,79405,80595,75182,84818,0
155.86741,109.73327,57.51604,0.01638,0,0.04728,1,0,0.48901,3.10268,0,2621,0,194.75,222.11427,0.00324,1.00443,0.5511,0,2649,0,160000,0.12061,87854,72146,70450,89550,55496,104504,0
102.44592,93.30231,62.53725,0.04029,0,0.04707,1,0,1.57169,29.58382,0,6446,0,199.75,228.91938,0,1,0.60687,0,6861,0,160000,0.24361,75954,84046,84776,75224,66119,93881,0
96.0016,82.81938,72.16029,0.02754,0,0.03477,1,0,1.42309,20.47653,0,4406,0,199.75,217.13379,0,1.01243,0.50426,0,4557,0,160000,0.18189,73062,86938,90646,69354,77396,82604,0
113.02614,101.17298,93.77512,0.0381,0,0.0532,1,0,1.51005,10.58054,0,6096,0,199.75,228.91938,0,1,0.74599,0,6372,0,160000,0.23351,71914,88086,71459,88541,73674,86326,0
139.04064,132.24628,113.71901,0.03217,0,0.04677,1,0,2.51182,74.66272,0,5147,0,199.75,223.78356,0,1.00216,0.67277,0,5221,0,160000,0.20515,72852,87148,73983,86017,75905,84095,0
81.76685,78.08435,67.84048,0.05079,0,0.04396,1,0,1.96209,25.80925,0,8126,0,199.75,228.91938,0,1,0.39158,0,9170,0,160000,0.28973,75097,84903,74344,85656,73636,86364,0
110.59567,91.40353,75.36719,0.03341,0,0.05479,1,0,1.83422,20.12368,0,5346,0,199.75,228.91938,0,1,0.65755,0,5496,0,160000,0.21123,72494,87506,71905,88095,73865,86135,0
105.00431,77.59866,59.50002,0.04911,0,0.0405,1,0,1.13311,7.74765,0,7858,0,199.75,228.91938,0,1,0.51312,0,8144,0,160000,0.28261,69395,90605,69687,90313,50397,109603,0
