Red,Green,Blue,Gray_Average,Gray_Median,Gray_SD,Gray_Max,Gray_Min,Gray_Skewness,Gray_Kurtusis,Gray_IQR,Area_Mean,Area_SD,BoundingBox_Mean,BoundingBox_SD,BoundingBox_Skewness,BoundingBox_Kurtusis,Eccentricity_Mean,Eccentricity_SD,FilledArea_Mean,FilledArea_SD,Area,Entropy,Above_Red,Above_Green,Above_Blue,Below_Red,Below_Green,Below_Blue,Target
85.61,72.80,34.72,0.02,0.00,0.08,1.00,0.00,2.69,23.19,0.00,3555.00,0.00,174.00,200.99,0.12,1.16,0.90,0.00,3714.00,0.00,160000.00,0.15,49152.00,110848.00,52597.00,107403.00,55162.00,104838.00,0.00
92.56,73.43,62.13,0.07,0.00,0.05,1.00,0.00,0.78,4.25,0.00,10808.00,0.00,199.75,228.92,0.00,1.00,0.59,0.00,14135.00,0.00,160000.00,0.36,72740.00,87260.00,74646.00,85354.00,64168.00,95832.00,0.00
78.72,57.68,34.67,0.03,0.00,0.08,1.00,0.00,0.79,10.82,0.00,4634.00,0.00,197.00,212.07,0.01,1.03,0.71,0.00,4639.00,0.00,160000.00,0.19,52593.00,107407.00,74757.00,85243.00,40837.00,119163.00,0.00
125.03,122.66,95.64,0.07,0.00,0.07,1.00,0.00,3.96,56.19,0.00,11151.00,0.00,197.75,226.63,0.00,1.00,0.60,0.00,11518.00,0.00,160000.00,0.36,66955.00,93045.00,74006.00,85994.00,69801.00,90199.00,0.00
105.32,92.23,71.63,0.07,0.00,0.07,1.00,0.00,0.39,10.56,0.00,10723.00,0.00,199.75,228.92,0.00,1.00,0.53,0.00,10934.00,0.00,160000.00,0.35,83126.00,76874.00,86640.00,73360.00,76079.00,83921.00,0.00
152.48,83.13,42.73,0.01,0.00,0.05,1.00,0.00,0.33,2.69,0.00,1670.00,0.00,196.75,198.94,0.00,1.00,0.84,0.00,2028.00,0.00,160000.00,0.08,77892.00,82108.00,73648.00,86352.00,62650.00,97350.00,0.00
130.22,107.25,89.42,0.04,0.00,0.04,1.00,0.00,1.14,6.54,0.00,7122.00,0.00,199.75,228.92,0.00,1.00,0.56,0.00,7175.00,0.00,160000.00,0.26,88523.00,71477.00,79405.00,80595.00,75182.00,84818.00,0.00
155.87,109.73,57.52,0.02,0.00,0.05,1.00,0.00,0.49,3.10,0.00,2621.00,0.00,194.75,222.11,0.00,1.00,0.55,0.00,2649.00,0.00,160000.00,0.12,87854.00,72146.00,70450.00,89550.00,55496.00,104504.00,0.00
102.45,93.30,62.54,0.04,0.00,0.05,1.00,0.00,1.57,29.58,0.00,6446.00,0.00,199.75,228.92,0.00,1.00,0.61,0.00,6861.00,0.00,160000.00,0.24,75954.00,84046.00,84776.00,75224.00,66119.00,93881.00,0.00
96.00,82.82,72.16,0.03,0.00,0.03,1.00,0.00,1.42,20.48,0.00,4406.00,0.00,199.75,217.13,0.00,1.01,0.50,0.00,4557.00,0.00,160000.00,0.18,73062.00,86938.00,90646.00,69354.00,77396.00,82604.00,0.00
113.03,101.17,93.78,0.04,0.00,0.05,1.00,0.00,1.51,10.58,0.00,6096.00,0.00,199.75,228.92,0.00,1.00,0.75,0.00,6372.00,0.00,160000.00,0.23,71914.00,88086.00,71459.00,88541.00,73674.00,86326.00,0.00
